edge_id,end_vertex,length,n_points,start_vertex
0,-1,9.524412523950781,2,124
1,-1,9.52440345273287,2,142
2,-1,9.524400294824153,2,158
3,-1,9.524409584065184,2,162
4,-1,9.524403376465362,2,169
5,-1,5.999990968879697,2,191
6,-1,1.5000143771457346,2,213
7,-1,6.000001650769036,2,215
8,-1,6.000001037726089,2,215
9,-1,0.7499961616994074,2,217
10,-1,1.500003732755637,2,217
11,-1,6.000008370896085,2,231
12,-1,6.000004028419892,2,237
13,-1,6.0000051731142,2,246
14,-1,5.999995979522754,2,262
15,-1,6.000004096828399,2,270
16,-1,1.500001891282126,2,280
17,-1,0.7500061400293807,2,296
18,228,4.217932174861991,3,296
19,-1,5.999998233296902,2,303
20,-1,6.000000469706701,2,305
21,-1,6.000002596376406,2,310
22,-1,6.0000040537402075,2,329
23,-1,2.3811006885798482,2,357
24,276,3.77251615057072,3,367
25,-1,3.779760383982583,2,436
26,-1,3.7797655534723344,2,442
27,-1,3.779771710477725,2,442
28,-1,3.779769765607937,2,446
29,-1,1.5000114940287375,2,452
30,-1,3.779767774968949,2,458
31,-1,3.779774141979346,2,462
32,-1,3.779765933429834,2,462
33,-1,3.7797720781937048,2,463
34,403,3.619531228466311,3,467
35,-1,3.779769142994373,2,480
36,-1,2.381107497295057,2,484
37,-1,3.7797630924726136,2,492
38,-1,0.7500072077812111,2,494
39,-1,3.7797581376705613,2,504
40,-1,1.499999977046779,2,505
41,-1,1.5000024916738688,2,521
42,457,3.0213228027737022,3,542
43,-1,3.779762514317711,2,567
44,-1,3.779761987446804,2,567
45,-1,3.7797702661626804,2,580
46,509,3.223784061818876,3,587
47,-1,1.5000003335686651,2,600
48,-1,1.4999995174196084,2,600
49,-1,0.7500119085719985,2,628
50,-1,0.7500018207334234,2,628
51,-1,2.3811011097791335,2,643
52,-1,2.381097502435851,2,676
53,678,3.468714063157721,3,707
54,-1,1.5000018264000672,2,713
55,630,3.0109775009304576,3,725
56,-1,1.5000007868855905,2,726
57,-1,1.1905515836860094,2,796
58,710,5.524456675448992,3,796
59,-1,0.7499846641036166,2,805
60,-1,0.7499913363217101,2,805
61,-1,1.5000043574385695,2,914
62,895,3.266619583549619,3,946
63,768,3.3893665637211123,3,977
64,835,3.477411748994431,3,1032
65,-1,1.499993831372243,2,1057
66,-1,0.7500003992656424,2,1113
67,-1,1.4999979596260717,2,1147
68,-1,1.4999937964475025,2,1157
69,-1,0.7500068315304125,2,1164
70,1058,3.25941189765149,3,1189
71,-1,1.4999985658401598,2,1218
72,-1,0.7500054552021413,2,1218
73,-1,1.4999999594098572,2,1244
74,-1,1.5000072850979287,2,1297
75,-1,1.4999930469041658,2,1308
76,-1,0.7500015723812986,2,1348
77,-1,1.4999921464466097,2,1350
78,-1,0.7499969162293952,2,1350
79,-1,1.5000014790171294,2,1378
80,-1,1.5000042751525762,2,1378
81,-1,1.500003263971632,2,1378
