metric_name,metric_value,origin_index
frontier_per_origin_candidate_counts,2,0
frontier_per_origin_candidate_counts,1,10006
frontier_per_origin_candidate_counts,2,10008
frontier_per_origin_candidate_counts,1,10012
frontier_per_origin_candidate_counts,2,10019
frontier_per_origin_candidate_counts,2,10025
frontier_per_origin_candidate_counts,2,10027
frontier_per_origin_candidate_counts,2,10032
frontier_per_origin_candidate_counts,1,10034
frontier_per_origin_candidate_counts,2,10042
frontier_per_origin_candidate_counts,1,10045
frontier_per_origin_candidate_counts,2,10049
frontier_per_origin_candidate_counts,1,10054
frontier_per_origin_candidate_counts,2,10059
frontier_per_origin_candidate_counts,1,1007
frontier_per_origin_candidate_counts,1,10071
frontier_per_origin_candidate_counts,2,10079
frontier_per_origin_candidate_counts,2,10091
frontier_per_origin_candidate_counts,2,10093
frontier_per_origin_candidate_counts,2,10095
frontier_per_origin_candidate_counts,3,10099
frontier_per_origin_candidate_counts,2,10101
frontier_per_origin_candidate_counts,2,10105
frontier_per_origin_candidate_counts,1,10114
frontier_per_origin_candidate_counts,2,10115
frontier_per_origin_candidate_counts,2,10123
frontier_per_origin_candidate_counts,2,10130
frontier_per_origin_candidate_counts,2,10135
frontier_per_origin_candidate_counts,1,10137
frontier_per_origin_candidate_counts,1,10145
frontier_per_origin_candidate_counts,2,10149
frontier_per_origin_candidate_counts,1,10151
frontier_per_origin_candidate_counts,2,10157
frontier_per_origin_candidate_counts,1,10161
frontier_per_origin_candidate_counts,1,10166
frontier_per_origin_candidate_counts,2,10172
frontier_per_origin_candidate_counts,1,10178
frontier_per_origin_candidate_counts,1,10188
frontier_per_origin_candidate_counts,1,10192
frontier_per_origin_candidate_counts,1,10194
frontier_per_origin_candidate_counts,2,10196
frontier_per_origin_candidate_counts,2,10199
frontier_per_origin_candidate_counts,2,10201
frontier_per_origin_candidate_counts,2,10211
frontier_per_origin_candidate_counts,2,10214
frontier_per_origin_candidate_counts,1,10215
frontier_per_origin_candidate_counts,1,10216
frontier_per_origin_candidate_counts,2,10218
frontier_per_origin_candidate_counts,2,10222
frontier_per_origin_candidate_counts,1,1023
frontier_per_origin_candidate_counts,2,10230
frontier_per_origin_candidate_counts,2,1024
frontier_per_origin_candidate_counts,1,10240
frontier_per_origin_candidate_counts,2,10245
frontier_per_origin_candidate_counts,1,10246
frontier_per_origin_candidate_counts,1,10254
frontier_per_origin_candidate_counts,2,10255
frontier_per_origin_candidate_counts,2,10259
frontier_per_origin_candidate_counts,2,10260
frontier_per_origin_candidate_counts,2,10265
frontier_per_origin_candidate_counts,1,10267
frontier_per_origin_candidate_counts,2,10281
frontier_per_origin_candidate_counts,1,10282
frontier_per_origin_candidate_counts,2,10292
frontier_per_origin_candidate_counts,2,10294
frontier_per_origin_candidate_counts,2,10298
frontier_per_origin_candidate_counts,2,10300
frontier_per_origin_candidate_counts,2,10304
frontier_per_origin_candidate_counts,2,10307
frontier_per_origin_candidate_counts,1,10308
frontier_per_origin_candidate_counts,1,10309
frontier_per_origin_candidate_counts,2,1031
frontier_per_origin_candidate_counts,1,10328
frontier_per_origin_candidate_counts,2,10329
frontier_per_origin_candidate_counts,2,10334
frontier_per_origin_candidate_counts,2,10347
frontier_per_origin_candidate_counts,1,1036
frontier_per_origin_candidate_counts,2,10360
frontier_per_origin_candidate_counts,2,10363
frontier_per_origin_candidate_counts,1,1037
frontier_per_origin_candidate_counts,2,10380
frontier_per_origin_candidate_counts,1,10382
frontier_per_origin_candidate_counts,1,10389
frontier_per_origin_candidate_counts,2,10390
