candidate_connection_count,candidate_endpoint_pair_count,candidate_endpoint_pair_samples,fallback_candidate_count,fallback_endpoint_pair_count,fallback_endpoint_pair_samples,frontier_candidate_count,frontier_endpoint_pair_count,frontier_endpoint_pair_samples,frontier_terminal_accept_count,frontier_terminal_hit_count,frontier_terminal_rejection_count,geodesic_candidate_count,geodesic_endpoint_pair_count,geodesic_endpoint_pair_samples,origin_index,watershed_candidate_count,watershed_endpoint_pair_count,watershed_endpoint_pair_samples
2,2,"[[0,1],[0,4401]]",0,0,[],2,0,[],0,0,0,0,0,[],0,0,0,[]
1,1,"[[22,86816]]",0,0,[],1,0,[],0,0,0,0,0,[],22,0,0,[]
1,1,"[[27,17829]]",0,0,[],1,0,[],0,0,0,0,0,[],27,0,0,[]
1,1,"[[42,84351]]",0,0,[],1,0,[],0,0,0,0,0,[],42,0,0,[]
1,1,"[[65,7719]]",0,0,[],1,0,[],0,0,0,0,0,[],65,0,0,[]
2,2,"[[113,4943],[113,54440]]",0,0,[],2,0,[],0,0,0,0,0,[],113,0,0,[]
1,1,"[[117,599]]",0,0,[],1,0,[],0,0,0,0,0,[],117,0,0,[]
1,1,"[[119,595]]",0,0,[],1,0,[],0,0,0,0,0,[],119,0,0,[]
1,1,"[[125,1244]]",0,0,[],1,0,[],0,0,0,0,0,[],125,0,0,[]
1,1,"[[138,70401]]",0,0,[],1,0,[],0,0,0,0,0,[],138,0,0,[]
1,1,"[[141,4943]]",0,0,[],1,0,[],0,0,0,0,0,[],141,0,0,[]
1,1,"[[146,66562]]",0,0,[],1,0,[],0,0,0,0,0,[],146,0,0,[]
1,1,"[[149,618]]",0,0,[],1,0,[],0,0,0,0,0,[],149,0,0,[]
1,1,"[[125,157]]",0,0,[],1,0,[],0,0,0,0,0,[],157,0,0,[]
1,1,"[[165,7159]]",0,0,[],1,0,[],0,0,0,0,0,[],165,0,0,[]
1,1,"[[169,35085]]",0,0,[],1,0,[],0,0,0,0,0,[],169,0,0,[]
1,1,"[[171,49996]]",0,0,[],1,0,[],0,0,0,0,0,[],171,0,0,[]
1,1,"[[182,63154]]",0,0,[],1,0,[],0,0,0,0,0,[],182,0,0,[]
1,1,"[[188,31201]]",0,0,[],1,0,[],0,0,0,0,0,[],188,0,0,[]
1,1,"[[202,84645]]",0,0,[],1,0,[],0,0,0,0,0,[],202,0,0,[]
1,1,"[[210,2768]]",0,0,[],1,0,[],0,0,0,0,0,[],210,0,0,[]
1,1,"[[222,60218]]",0,0,[],1,0,[],0,0,0,0,0,[],222,0,0,[]
1,1,"[[228,40219]]",0,0,[],1,0,[],0,0,0,0,0,[],228,0,0,[]
1,1,"[[263,24903]]",0,0,[],1,0,[],0,0,0,0,0,[],263,0,0,[]
1,1,"[[272,22993]]",0,0,[],1,0,[],0,0,0,0,0,[],272,0,0,[]
1,1,"[[278,82078]]",0,0,[],1,0,[],0,0,0,0,0,[],278,0,0,[]
1,1,"[[281,14489]]",0,0,[],1,0,[],0,0,0,0,0,[],281,0,0,[]
1,1,"[[295,598]]",0,0,[],1,0,[],0,0,0,0,0,[],295,0,0,[]
1,1,"[[27,301]]",0,0,[],1,0,[],0,0,0,0,0,[],301,0,0,[]
1,1,"[[313,16934]]",0,0,[],1,0,[],0,0,0,0,0,[],313,0,0,[]
1,1,"[[322,15833]]",0,0,[],1,0,[],0,0,0,0,0,[],322,0,0,[]
1,1,"[[325,820]]",0,0,[],1,0,[],0,0,0,0,0,[],325,0,0,[]
1,1,"[[326,87333]]",0,0,[],1,0,[],0,0,0,0,0,[],326,0,0,[]
1,1,"[[333,20066]]",0,0,[],1,0,[],0,0,0,0,0,[],333,0,0,[]
1,1,"[[358,22993]]",0,0,[],1,0,[],0,0,0,0,0,[],358,0,0,[]
2,2,"[[365,1067],[365,1298]]",0,0,[],2,0,[],0,0,0,0,0,[],365,0,0,[]
1,1,"[[376,50439]]",0,0,[],1,0,[],0,0,0,0,0,[],376,0,0,[]
2,2,"[[221,386],[386,77075]]",0,0,[],2,0,[],0,0,0,0,0,[],386,0,0,[]
1,1,"[[322,387]]",0,0,[],1,0,[],0,0,0,0,0,[],387,0,0,[]
2,2,"[[392,394],[394,1511]]",0,0,[],2,0,[],0,0,0,0,0,[],394,0,0,[]
1,1,"[[396,4172]]",0,0,[],1,0,[],0,0,0,0,0,[],396,0,0,[]
1,1,"[[65,398]]",0,0,[],1,0,[],0,0,0,0,0,[],398,0,0,[]
1,1,"[[399,1410]]",0,0,[],1,0,[],0,0,0,0,0,[],399,0,0,[]
1,1,"[[404,50603]]",0,0,[],1,0,[],0,0,0,0,0,[],404,0,0,[]
1,1,"[[263,419]]",0,0,[],1,0,[],0,0,0,0,0,[],419,0,0,[]
1,1,"[[432,48973]]",0,0,[],1,0,[],0,0,0,0,0,[],432,0,0,[]
1,1,"[[188,433]]",0,0,[],1,0,[],0,0,0,0,0,[],433,0,0,[]
1,1,"[[448,916]]",0,0,[],1,0,[],0,0,0,0,0,[],448,0,0,[]
1,1,"[[452,54717]]",0,0,[],1,0,[],0,0,0,0,0,[],452,0,0,[]
1,1,"[[456,84099]]",0,0,[],1,0,[],0,0,0,0,0,[],456,0,0,[]
1,1,"[[463,33071]]",0,0,[],1,0,[],0,0,0,0,0,[],463,0,0,[]
1,1,"[[468,1438]]",0,0,[],1,0,[],0,0,0,0,0,[],468,0,0,[]
1,1,"[[468,470]]",0,0,[],1,0,[],0,0,0,0,0,[],470,0,0,[]
1,1,"[[475,1384]]",0,0,[],1,0,[],0,0,0,0,0,[],475,0,0,[]
1,1,"[[481,81328]]",0,0,[],1,0,[],0,0,0,0,0,[],481,0,0,[]
1,1,"[[500,79393]]",0,0,[],1,0,[],0,0,0,0,0,[],500,0,0,[]
1,1,"[[510,1298]]",0,0,[],1,0,[],0,0,0,0,0,[],510,0,0,[]
1,1,"[[528,72106]]",0,0,[],1,0,[],0,0,0,0,0,[],528,0,0,[]
1,1,"[[535,8745]]",0,0,[],1,0,[],0,0,0,0,0,[],535,0,0,[]
1,1,"[[539,595]]",0,0,[],1,0,[],0,0,0,0,0,[],539,0,0,[]
1,1,"[[540,1364]]",0,0,[],1,0,[],0,0,0,0,0,[],540,0,0,[]
1,1,"[[554,2881]]",0,0,[],1,0,[],0,0,0,0,0,[],554,0,0,[]
1,1,"[[558,31527]]",0,0,[],1,0,[],0,0,0,0,0,[],558,0,0,[]
1,1,"[[559,5694]]",0,0,[],1,0,[],0,0,0,0,0,[],559,0,0,[]
2,2,"[[574,10005],[574,15329]]",0,0,[],2,0,[],0,0,0,0,0,[],574,0,0,[]
1,1,"[[575,7099]]",0,0,[],1,0,[],0,0,0,0,0,[],575,0,0,[]
