candidate_connection_count,candidate_endpoint_pair_count,candidate_endpoint_pair_samples,fallback_candidate_count,fallback_endpoint_pair_count,fallback_endpoint_pair_samples,frontier_candidate_count,frontier_endpoint_pair_count,frontier_endpoint_pair_samples,frontier_terminal_accept_count,frontier_terminal_hit_count,frontier_terminal_rejection_count,geodesic_candidate_count,geodesic_endpoint_pair_count,geodesic_endpoint_pair_samples,origin_index,watershed_candidate_count,watershed_endpoint_pair_count,watershed_endpoint_pair_samples
2,2,"[[7,196],[7,421]]",0,0,[],2,0,[],0,0,0,0,0,[],7,0,0,[]
1,1,"[[20,213]]",0,0,[],1,0,[],0,0,0,0,0,[],20,0,0,[]
1,1,"[[9,28]]",0,0,[],1,0,[],0,0,0,0,0,[],28,0,0,[]
2,2,"[[0,31],[31,94]]",0,0,[],2,0,[],0,0,0,0,0,[],31,0,0,[]
2,2,"[[32,1331],[32,1366]]",0,0,[],2,0,[],0,0,0,0,0,[],32,0,0,[]
1,1,"[[38,60]]",0,0,[],1,0,[],0,0,0,0,0,[],38,0,0,[]
2,2,"[[43,1856],[43,2359]]",0,0,[],2,0,[],0,0,0,0,0,[],43,0,0,[]
1,1,"[[50,52]]",0,0,[],1,0,[],0,0,0,0,0,[],52,0,0,[]
2,2,"[[57,60],[57,73]]",0,0,[],2,0,[],0,0,0,0,0,[],57,0,0,[]
1,1,"[[23,58]]",0,0,[],1,0,[],0,0,0,0,0,[],58,0,0,[]
1,1,"[[59,70]]",0,0,[],1,0,[],0,0,0,0,0,[],59,0,0,[]
1,1,"[[60,71]]",0,0,[],1,0,[],0,0,0,0,0,[],60,0,0,[]
1,1,"[[9,64]]",0,0,[],1,0,[],0,0,0,0,0,[],64,0,0,[]
1,1,"[[67,1113]]",0,0,[],1,0,[],0,0,0,0,0,[],67,0,0,[]
1,1,"[[38,71]]",0,0,[],1,0,[],0,0,0,0,0,[],71,0,0,[]
2,2,"[[72,391],[72,2080]]",0,0,[],2,0,[],0,0,0,0,0,[],72,0,0,[]
2,2,"[[38,73],[73,1164]]",0,0,[],2,0,[],0,0,0,0,0,[],73,0,0,[]
2,2,"[[5,75],[58,75]]",0,0,[],2,0,[],0,0,0,0,0,[],75,0,0,[]
1,1,"[[81,2969]]",0,0,[],1,0,[],0,0,0,0,0,[],81,0,0,[]
1,1,"[[18,83]]",0,0,[],1,0,[],0,0,0,0,0,[],83,0,0,[]
2,2,"[[47,88],[88,569]]",0,0,[],2,0,[],0,0,0,0,0,[],88,0,0,[]
1,1,"[[89,707]]",0,0,[],1,0,[],0,0,0,0,0,[],89,0,0,[]
1,1,"[[80,90]]",0,0,[],1,0,[],0,0,0,0,0,[],90,0,0,[]
2,2,"[[95,2287],[95,8740]]",0,0,[],2,0,[],0,0,0,0,0,[],95,0,0,[]
1,1,"[[98,276]]",0,0,[],1,0,[],0,0,0,0,0,[],98,0,0,[]
1,1,"[[49,105]]",0,0,[],1,0,[],0,0,0,0,0,[],105,0,0,[]
1,1,"[[71,106]]",0,0,[],1,0,[],0,0,0,0,0,[],106,0,0,[]
1,1,"[[4,113]]",0,0,[],1,0,[],0,0,0,0,0,[],113,0,0,[]
2,2,"[[114,116],[114,2676]]",0,0,[],2,0,[],0,0,0,0,0,[],114,0,0,[]
1,1,"[[21,115]]",0,0,[],1,0,[],0,0,0,0,0,[],115,0,0,[]
1,1,"[[21,116]]",0,0,[],1,0,[],0,0,0,0,0,[],116,0,0,[]
1,1,"[[101,118]]",0,0,[],1,0,[],0,0,0,0,0,[],118,0,0,[]
1,1,"[[123,148]]",0,0,[],1,0,[],0,0,0,0,0,[],123,0,0,[]
2,2,"[[124,642],[124,5514]]",0,0,[],2,0,[],0,0,0,0,0,[],124,0,0,[]
2,2,"[[89,125],[125,140]]",0,0,[],2,0,[],0,0,0,0,0,[],125,0,0,[]
1,1,"[[29,126]]",0,0,[],1,0,[],0,0,0,0,0,[],126,0,0,[]
1,1,"[[127,584]]",0,0,[],1,0,[],0,0,0,0,0,[],127,0,0,[]
1,1,"[[127,128]]",0,0,[],1,0,[],0,0,0,0,0,[],128,0,0,[]
1,1,"[[130,288]]",0,0,[],1,0,[],0,0,0,0,0,[],130,0,0,[]
2,2,"[[131,155],[131,180]]",0,0,[],2,0,[],0,0,0,0,0,[],131,0,0,[]
1,1,"[[132,178]]",0,0,[],1,0,[],0,0,0,0,0,[],132,0,0,[]
1,1,"[[130,134]]",0,0,[],1,0,[],0,0,0,0,0,[],134,0,0,[]
1,1,"[[78,135]]",0,0,[],1,0,[],0,0,0,0,0,[],135,0,0,[]
2,2,"[[71,137],[137,160]]",0,0,[],2,0,[],0,0,0,0,0,[],137,0,0,[]
1,1,"[[24,139]]",0,0,[],1,0,[],0,0,0,0,0,[],139,0,0,[]
2,2,"[[89,140],[140,3388]]",0,0,[],2,0,[],0,0,0,0,0,[],140,0,0,[]
2,2,"[[142,380],[142,1395]]",0,0,[],2,0,[],0,0,0,0,0,[],142,0,0,[]
1,1,"[[148,247]]",0,0,[],1,0,[],0,0,0,0,0,[],148,0,0,[]
2,2,"[[149,187],[149,200]]",0,0,[],2,0,[],0,0,0,0,0,[],149,0,0,[]
2,2,"[[151,174],[151,204]]",0,0,[],2,0,[],0,0,0,0,0,[],151,0,0,[]
2,2,"[[106,152],[152,160]]",0,0,[],2,0,[],0,0,0,0,0,[],152,0,0,[]
1,1,"[[155,4023]]",0,0,[],1,0,[],0,0,0,0,0,[],155,0,0,[]
2,2,"[[157,188],[157,419]]",0,0,[],2,0,[],0,0,0,0,0,[],157,0,0,[]
1,1,"[[159,846]]",0,0,[],1,0,[],0,0,0,0,0,[],159,0,0,[]
1,1,"[[134,160]]",0,0,[],1,0,[],0,0,0,0,0,[],160,0,0,[]
1,1,"[[74,164]]",0,0,[],1,0,[],0,0,0,0,0,[],164,0,0,[]
2,2,"[[14,165],[165,281]]",0,0,[],2,0,[],0,0,0,0,0,[],165,0,0,[]
1,1,"[[159,166]]",0,0,[],1,0,[],0,0,0,0,0,[],166,0,0,[]
1,1,"[[130,167]]",0,0,[],1,0,[],0,0,0,0,0,[],167,0,0,[]
1,1,"[[13,169]]",0,0,[],1,0,[],0,0,0,0,0,[],169,0,0,[]
1,1,"[[170,254]]",0,0,[],1,0,[],0,0,0,0,0,[],170,0,0,[]
1,1,"[[171,610]]",0,0,[],1,0,[],0,0,0,0,0,[],171,0,0,[]
1,1,"[[92,172]]",0,0,[],1,0,[],0,0,0,0,0,[],172,0,0,[]
2,2,"[[46,173],[132,173]]",0,0,[],2,0,[],0,0,0,0,0,[],173,0,0,[]
1,1,"[[178,189]]",0,0,[],1,0,[],0,0,0,0,0,[],178,0,0,[]
1,1,"[[130,179]]",0,0,[],1,0,[],0,0,0,0,0,[],179,0,0,[]
1,1,"[[158,182]]",0,0,[],1,0,[],0,0,0,0,0,[],182,0,0,[]
1,1,"[[187,200]]",0,0,[],1,0,[],0,0,0,0,0,[],187,0,0,[]
1,1,"[[188,246]]",0,0,[],1,0,[],0,0,0,0,0,[],188,0,0,[]
2,2,"[[190,194],[190,381]]",0,0,[],2,0,[],0,0,0,0,0,[],190,0,0,[]
2,2,"[[192,226],[192,1573]]",0,0,[],2,0,[],0,0,0,0,0,[],192,0,0,[]
1,1,"[[45,196]]",0,0,[],1,0,[],0,0,0,0,0,[],196,0,0,[]
1,1,"[[70,197]]",0,0,[],1,0,[],0,0,0,0,0,[],197,0,0,[]
